Team,Location,Current Stadium,Coordinates
Arsenal,London (Holloway),Emirates Stadium,"51°33′24″N, 0°6′22″W"
Aston Villa,Birmingham,Villa Park,"52°30′33″N, 1°53′5″W"
Bournemouth,Bournemouth,Dean Court,"50°44′07″N, 1°50′18″W"
Brentford,London (Brentford),Brentford Community Stadium,"51°29′27″N, 0°17′19″W"
Brighton & Hove Albion,Falmer,Falmer Stadium,"50°51′43″N, 0°5′0″W"
Burnley,Burnley,Turf Moor,"53°47′21″N, 2°13′49″W"
Chelsea,London (Fulham),Stamford Bridge,"51°28′54″N, 0°11′28″W"
Crystal Palace,London (Selhurst),Selhurst Park,"51°23′54″N, 0°5′8″W"
Everton,Liverpool (Walton),Goodison Park,"53°26′20″N, 2°57′59″W"
Fulham,London (Fulham),Craven Cottage,"51°28′30″N, 0°13′18″W"
Liverpool,Liverpool (Anfield),Anfield,"53°25′51″N, 2°57′39″W"
Luton Town,Luton,Kenilworth Road,"51°53′03″N, 0°25′54″W"
Manchester City,Manchester (Bradford),City of Manchester Stadium,"53°28′59″N, 2°12′1″W"
Manchester United,Manchester (Old Trafford),Old Trafford,"53°27′47″N, 2°17′29″W"
Newcastle United,Newcastle upon Tyne,St James' Park,"54°58′32″N, 1°37′18″W"
Nottingham Forest,West Bridgford,City Ground,"52°56′24″N, 1°7′58″W"
Sheffield United,Sheffield,Bramall Lane,"53°22′13″N, 1°28′15″W"
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,"51°36′16″N, 0°3′59″W"
West Ham United,London (Stratford),London Stadium,"51°32′19″N, 0°0′59″W"
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,"52°35′25″N, 2°07′49″W"
